"","X.4","X.3","X.2","X.1","X","type","game_id","home_team","away_team","week","season","state_of_game","game_url","home_score","away_score"
"1",1,1,1,1,1,"reg",2019090500,"CHI","GB",1,2019,"POST","http://www.nfl.com/liveupdate/game-center/2019090500/2019090500_gtd.json",3,10
"2",2,2,2,2,2,"reg",2019090800,"CAR","LA",1,2019,"POST","http://www.nfl.com/liveupdate/game-center/2019090800/2019090800_gtd.json",27,30
"3",3,3,3,3,3,"reg",2019090806,"PHI","WAS",1,2019,"POST","http://www.nfl.com/liveupdate/game-center/2019090806/2019090806_gtd.json",32,27
"4",4,4,4,4,4,"reg",2019090805,"NYJ","BUF",1,2019,"POST","http://www.nfl.com/liveupdate/game-center/2019090805/2019090805_gtd.json",16,17
"5",5,5,5,5,5,"reg",2019090804,"MIN","ATL",1,2019,"POST","http://www.nfl.com/liveupdate/game-center/2019090804/2019090804_gtd.json",28,12
"6",6,6,6,6,6,"reg",2019090803,"MIA","BAL",1,2019,"POST","http://www.nfl.com/liveupdate/game-center/2019090803/2019090803_gtd.json",10,59
"7",7,7,7,7,7,"reg",2019090802,"JAX","KC",1,2019,"POST","http://www.nfl.com/liveupdate/game-center/2019090802/2019090802_gtd.json",26,40
"8",8,8,8,8,8,"reg",2019090801,"CLE","TEN",1,2019,"POST","http://www.nfl.com/liveupdate/game-center/2019090801/2019090801_gtd.json",13,43
"9",9,9,9,9,9,"reg",2019090807,"LAC","IND",1,2019,"POST","http://www.nfl.com/liveupdate/game-center/2019090807/2019090807_gtd.json",30,24
"10",10,10,10,10,10,"reg",2019090808,"SEA","CIN",1,2019,"POST","http://www.nfl.com/liveupdate/game-center/2019090808/2019090808_gtd.json",21,20
"11",11,11,11,11,11,"reg",2019090811,"TB","SF",1,2019,"POST","http://www.nfl.com/liveupdate/game-center/2019090811/2019090811_gtd.json",17,31
"12",12,12,12,12,12,"reg",2019090810,"DAL","NYG",1,2019,"POST","http://www.nfl.com/liveupdate/game-center/2019090810/2019090810_gtd.json",35,17
"13",13,13,13,13,13,"reg",2019090809,"ARI","DET",1,2019,"POST","http://www.nfl.com/liveupdate/game-center/2019090809/2019090809_gtd.json",27,27
"14",14,14,14,14,14,"reg",2019090812,"NE","PIT",1,2019,"POST","http://www.nfl.com/liveupdate/game-center/2019090812/2019090812_gtd.json",33,3
"15",15,15,15,15,15,"reg",2019090900,"NO","HOU",1,2019,"POST","http://www.nfl.com/liveupdate/game-center/2019090900/2019090900_gtd.json",30,28
"16",16,16,16,16,16,"reg",2019090901,"OAK","DEN",1,2019,"POST","http://www.nfl.com/liveupdate/game-center/2019090901/2019090901_gtd.json",24,16
"17",17,17,17,17,17,"reg",2019091200,"CAR","TB",2,2019,"POST","http://www.nfl.com/liveupdate/game-center/2019091200/2019091200_gtd.json",14,20
"18",18,18,18,18,18,"reg",2019091500,"BAL","ARI",2,2019,"POST","http://www.nfl.com/liveupdate/game-center/2019091500/2019091500_gtd.json",23,17
"19",19,19,19,19,19,"reg",2019091509,"WAS","DAL",2,2019,"POST","http://www.nfl.com/liveupdate/game-center/2019091509/2019091509_gtd.json",21,31
"20",20,20,20,20,20,"reg",2019091508,"TEN","IND",2,2019,"POST","http://www.nfl.com/liveupdate/game-center/2019091508/2019091508_gtd.json",17,19
"21",21,21,21,21,21,"reg",2019091507,"PIT","SEA",2,2019,"POST","http://www.nfl.com/liveupdate/game-center/2019091507/2019091507_gtd.json",26,28
"22",22,22,22,22,22,"reg",2019091506,"NYG","BUF",2,2019,"POST","http://www.nfl.com/liveupdate/game-center/2019091506/2019091506_gtd.json",14,28
"23",23,23,23,23,23,"reg",2019091501,"CIN","SF",2,2019,"POST","http://www.nfl.com/liveupdate/game-center/2019091501/2019091501_gtd.json",17,41
"24",24,24,24,24,24,"reg",2019091502,"DET","LAC",2,2019,"POST","http://www.nfl.com/liveupdate/game-center/2019091502/2019091502_gtd.json",13,10
"25",25,25,25,25,25,"reg",2019091503,"GB","MIN",2,2019,"POST","http://www.nfl.com/liveupdate/game-center/2019091503/2019091503_gtd.json",21,16
"26",26,26,26,26,26,"reg",2019091504,"HOU","JAX",2,2019,"POST","http://www.nfl.com/liveupdate/game-center/2019091504/2019091504_gtd.json",13,12
"27",27,27,27,27,27,"reg",2019091505,"MIA","NE",2,2019,"POST","http://www.nfl.com/liveupdate/game-center/2019091505/2019091505_gtd.json",0,43
"28",28,28,28,28,28,"reg",2019091510,"OAK","KC",2,2019,"POST","http://www.nfl.com/liveupdate/game-center/2019091510/2019091510_gtd.json",10,28
"29",29,29,29,29,29,"reg",2019091512,"LA","NO",2,2019,"POST","http://www.nfl.com/liveupdate/game-center/2019091512/2019091512_gtd.json",27,9
"30",30,30,30,30,30,"reg",2019091511,"DEN","CHI",2,2019,"POST","http://www.nfl.com/liveupdate/game-center/2019091511/2019091511_gtd.json",14,16
"31",31,31,31,31,31,"reg",2019091513,"ATL","PHI",2,2019,"POST","http://www.nfl.com/liveupdate/game-center/2019091513/2019091513_gtd.json",24,20
"32",32,32,32,32,32,"reg",2019091600,"NYJ","CLE",2,2019,"POST","http://www.nfl.com/liveupdate/game-center/2019091600/2019091600_gtd.json",3,23
"33",33,33,33,33,33,"reg",2019091900,"JAX","TEN",3,2019,"POST","http://www.nfl.com/liveupdate/game-center/2019091900/2019091900_gtd.json",20,7
"34",34,34,34,34,34,"reg",2019092200,"BUF","CIN",3,2019,"POST","http://www.nfl.com/liveupdate/game-center/2019092200/2019092200_gtd.json",21,17
"35",35,35,35,35,35,"reg",2019092207,"PHI","DET",3,2019,"POST","http://www.nfl.com/liveupdate/game-center/2019092207/2019092207_gtd.json",24,27
"36",36,36,36,36,36,"reg",2019092206,"NE","NYJ",3,2019,"POST","http://www.nfl.com/liveupdate/game-center/2019092206/2019092206_gtd.json",30,14
"37",37,37,37,37,37,"reg",2019092205,"MIN","OAK",3,2019,"POST","http://www.nfl.com/liveupdate/game-center/2019092205/2019092205_gtd.json",34,14
"38",38,38,38,38,38,"reg",2019092204,"KC","BAL",3,2019,"POST","http://www.nfl.com/liveupdate/game-center/2019092204/2019092204_gtd.json",33,28
"39",39,39,39,39,39,"reg",2019092203,"IND","ATL",3,2019,"POST","http://www.nfl.com/liveupdate/game-center/2019092203/2019092203_gtd.json",27,24
"40",40,40,40,40,40,"reg",2019092202,"GB","DEN",3,2019,"POST","http://www.nfl.com/liveupdate/game-center/2019092202/2019092202_gtd.json",27,16
"41",41,41,41,41,41,"reg",2019092201,"DAL","MIA",3,2019,"POST","http://www.nfl.com/liveupdate/game-center/2019092201/2019092201_gtd.json",31,6
"42",42,42,42,42,42,"reg",2019092209,"TB","NYG",3,2019,"POST","http://www.nfl.com/liveupdate/game-center/2019092209/2019092209_gtd.json",31,32
"43",43,43,43,43,43,"reg",2019092208,"ARI","CAR",3,2019,"POST","http://www.nfl.com/liveupdate/game-center/2019092208/2019092208_gtd.json",20,38
"44",44,44,44,44,44,"reg",2019092212,"SF","PIT",3,2019,"POST","http://www.nfl.com/liveupdate/game-center/2019092212/2019092212_gtd.json",24,20
"45",45,45,45,45,45,"reg",2019092211,"SEA","NO",3,2019,"POST","http://www.nfl.com/liveupdate/game-center/2019092211/2019092211_gtd.json",27,33
"46",46,46,46,46,46,"reg",2019092210,"LAC","HOU",3,2019,"POST","http://www.nfl.com/liveupdate/game-center/2019092210/2019092210_gtd.json",20,27
"47",47,47,47,47,47,"reg",2019092213,"CLE","LA",3,2019,"POST","http://www.nfl.com/liveupdate/game-center/2019092213/2019092213_gtd.json",13,20
"48",48,48,48,48,48,"reg",2019092300,"WAS","CHI",3,2019,"POST","http://www.nfl.com/liveupdate/game-center/2019092300/2019092300_gtd.json",15,31
"49",49,49,49,49,49,"reg",2019092600,"GB","PHI",4,2019,"POST","http://www.nfl.com/liveupdate/game-center/2019092600/2019092600_gtd.json",27,34
"50",50,50,50,50,50,"reg",2019092900,"ATL","TEN",4,2019,"POST","http://www.nfl.com/liveupdate/game-center/2019092900/2019092900_gtd.json",10,24
"51",51,51,51,51,51,"reg",2019092907,"NYG","WAS",4,2019,"POST","http://www.nfl.com/liveupdate/game-center/2019092907/2019092907_gtd.json",24,3
"52",52,52,52,52,52,"reg",2019092906,"MIA","LAC",4,2019,"POST","http://www.nfl.com/liveupdate/game-center/2019092906/2019092906_gtd.json",10,30
"53",53,53,53,53,53,"reg",2019092905,"IND","OAK",4,2019,"POST","http://www.nfl.com/liveupdate/game-center/2019092905/2019092905_gtd.json",24,31
"54",54,54,54,54,54,"reg",2019092904,"HOU","CAR",4,2019,"POST","http://www.nfl.com/liveupdate/game-center/2019092904/2019092904_gtd.json",10,16
"55",55,55,55,55,55,"reg",2019092903,"DET","KC",4,2019,"POST","http://www.nfl.com/liveupdate/game-center/2019092903/2019092903_gtd.json",30,34
"56",56,56,56,56,56,"reg",2019092901,"BAL","CLE",4,2019,"POST","http://www.nfl.com/liveupdate/game-center/2019092901/2019092901_gtd.json",25,40
"57",57,57,57,57,57,"reg",2019092902,"BUF","NE",4,2019,"POST","http://www.nfl.com/liveupdate/game-center/2019092902/2019092902_gtd.json",10,16
"58",58,58,58,58,58,"reg",2019092909,"LA","TB",4,2019,"POST","http://www.nfl.com/liveupdate/game-center/2019092909/2019092909_gtd.json",NA,NA
"59",59,59,59,59,59,"reg",2019092908,"ARI","SEA",4,2019,"POST","http://www.nfl.com/liveupdate/game-center/2019092908/2019092908_gtd.json",NA,NA
"60",60,60,60,60,60,"reg",2019092910,"CHI","MIN",4,2019,"POST","http://www.nfl.com/liveupdate/game-center/2019092910/2019092910_gtd.json",NA,NA
"61",61,61,61,61,61,"reg",2019092911,"DEN","JAX",4,2019,"POST","http://www.nfl.com/liveupdate/game-center/2019092911/2019092911_gtd.json",NA,NA
"62",62,62,62,62,62,"reg",2019092912,"NO","DAL",4,2019,"PRE","http://www.nfl.com/liveupdate/game-center/2019092912/2019092912_gtd.json",NA,NA
"63",63,63,63,63,63,"reg",2019093000,"PIT","CIN",4,2019,"PRE","http://www.nfl.com/liveupdate/game-center/2019093000/2019093000_gtd.json",NA,NA
"64",64,64,64,64,64,"reg",2019100300,"SEA","LA",5,2019,"PRE","http://www.nfl.com/liveupdate/game-center/2019100300/2019100300_gtd.json",NA,NA
"65",65,65,65,65,65,"reg",2019100600,"CAR","JAX",5,2019,"PRE","http://www.nfl.com/liveupdate/game-center/2019100600/2019100600_gtd.json",NA,NA
"66",66,66,66,66,66,"reg",2019100609,"WAS","NE",5,2019,"PRE","http://www.nfl.com/liveupdate/game-center/2019100609/2019100609_gtd.json",NA,NA
"67",67,67,67,67,67,"reg",2019100608,"TEN","BUF",5,2019,"PRE","http://www.nfl.com/liveupdate/game-center/2019100608/2019100608_gtd.json",NA,NA
"68",68,68,68,68,68,"reg",2019100607,"PIT","BAL",5,2019,"PRE","http://www.nfl.com/liveupdate/game-center/2019100607/2019100607_gtd.json",NA,NA
"69",69,69,69,69,69,"reg",2019100601,"CIN","ARI",5,2019,"PRE","http://www.nfl.com/liveupdate/game-center/2019100601/2019100601_gtd.json",NA,NA
"70",70,70,70,70,70,"reg",2019100602,"HOU","ATL",5,2019,"PRE","http://www.nfl.com/liveupdate/game-center/2019100602/2019100602_gtd.json",NA,NA
"71",71,71,71,71,71,"reg",2019100603,"NO","TB",5,2019,"PRE","http://www.nfl.com/liveupdate/game-center/2019100603/2019100603_gtd.json",NA,NA
"72",72,72,72,72,72,"reg",2019100604,"NYG","MIN",5,2019,"PRE","http://www.nfl.com/liveupdate/game-center/2019100604/2019100604_gtd.json",NA,NA
"73",73,73,73,73,73,"reg",2019100605,"OAK","CHI",5,2019,"PRE","http://www.nfl.com/liveupdate/game-center/2019100605/2019100605_gtd.json",NA,NA
"74",74,74,74,74,74,"reg",2019100606,"PHI","NYJ",5,2019,"PRE","http://www.nfl.com/liveupdate/game-center/2019100606/2019100606_gtd.json",NA,NA
"75",75,75,75,75,75,"reg",2019100610,"LAC","DEN",5,2019,"PRE","http://www.nfl.com/liveupdate/game-center/2019100610/2019100610_gtd.json",NA,NA
"76",76,76,76,76,76,"reg",2019100611,"DAL","GB",5,2019,"PRE","http://www.nfl.com/liveupdate/game-center/2019100611/2019100611_gtd.json",NA,NA
"77",77,77,77,77,77,"reg",2019100612,"KC","IND",5,2019,"PRE","http://www.nfl.com/liveupdate/game-center/2019100612/2019100612_gtd.json",NA,NA
"78",78,78,78,78,78,"reg",2019100700,"SF","CLE",5,2019,"PRE","http://www.nfl.com/liveupdate/game-center/2019100700/2019100700_gtd.json",NA,NA
"79",79,79,79,79,79,"reg",2019101000,"NE","NYG",6,2019,"PRE","http://www.nfl.com/liveupdate/game-center/2019101000/2019101000_gtd.json",NA,NA
"80",80,80,80,80,80,"reg",2019101300,"TB","CAR",6,2019,"PRE","http://www.nfl.com/liveupdate/game-center/2019101300/2019101300_gtd.json",NA,NA
"81",81,81,81,81,81,"reg",2019101305,"MIA","WAS",6,2019,"PRE","http://www.nfl.com/liveupdate/game-center/2019101305/2019101305_gtd.json",NA,NA
"82",82,82,82,82,82,"reg",2019101306,"MIN","PHI",6,2019,"PRE","http://www.nfl.com/liveupdate/game-center/2019101306/2019101306_gtd.json",NA,NA
"83",83,83,83,83,83,"reg",2019101304,"KC","HOU",6,2019,"PRE","http://www.nfl.com/liveupdate/game-center/2019101304/2019101304_gtd.json",NA,NA
"84",84,84,84,84,84,"reg",2019101303,"JAX","NO",6,2019,"PRE","http://www.nfl.com/liveupdate/game-center/2019101303/2019101303_gtd.json",NA,NA
"85",85,85,85,85,85,"reg",2019101302,"CLE","SEA",6,2019,"PRE","http://www.nfl.com/liveupdate/game-center/2019101302/2019101302_gtd.json",NA,NA
"86",86,86,86,86,86,"reg",2019101301,"BAL","CIN",6,2019,"PRE","http://www.nfl.com/liveupdate/game-center/2019101301/2019101301_gtd.json",NA,NA
"87",87,87,87,87,87,"reg",2019101308,"LA","SF",6,2019,"PRE","http://www.nfl.com/liveupdate/game-center/2019101308/2019101308_gtd.json",NA,NA
"88",88,88,88,88,88,"reg",2019101307,"ARI","ATL",6,2019,"PRE","http://www.nfl.com/liveupdate/game-center/2019101307/2019101307_gtd.json",NA,NA
"89",89,89,89,89,89,"reg",2019101310,"NYJ","DAL",6,2019,"PRE","http://www.nfl.com/liveupdate/game-center/2019101310/2019101310_gtd.json",NA,NA
"90",90,90,90,90,90,"reg",2019101309,"DEN","TEN",6,2019,"PRE","http://www.nfl.com/liveupdate/game-center/2019101309/2019101309_gtd.json",NA,NA
"91",91,91,91,91,91,"reg",2019101311,"LAC","PIT",6,2019,"PRE","http://www.nfl.com/liveupdate/game-center/2019101311/2019101311_gtd.json",NA,NA
"92",92,92,92,92,92,"reg",2019101400,"GB","DET",6,2019,"PRE","http://www.nfl.com/liveupdate/game-center/2019101400/2019101400_gtd.json",NA,NA
"93",93,93,93,93,93,"reg",2019101700,"DEN","KC",7,2019,"PRE","http://www.nfl.com/liveupdate/game-center/2019101700/2019101700_gtd.json",NA,NA
"94",94,94,94,94,94,"reg",2019102001,"BUF","MIA",7,2019,"PRE","http://www.nfl.com/liveupdate/game-center/2019102001/2019102001_gtd.json",NA,NA
"95",95,95,95,95,95,"reg",2019102002,"CIN","JAX",7,2019,"PRE","http://www.nfl.com/liveupdate/game-center/2019102002/2019102002_gtd.json",NA,NA
"96",96,96,96,96,96,"reg",2019102003,"DET","MIN",7,2019,"PRE","http://www.nfl.com/liveupdate/game-center/2019102003/2019102003_gtd.json",NA,NA
"97",97,97,97,97,97,"reg",2019102004,"GB","OAK",7,2019,"PRE","http://www.nfl.com/liveupdate/game-center/2019102004/2019102004_gtd.json",NA,NA
"98",98,98,98,98,98,"reg",2019102000,"ATL","LA",7,2019,"PRE","http://www.nfl.com/liveupdate/game-center/2019102000/2019102000_gtd.json",NA,NA
"99",99,99,99,99,99,"reg",2019102005,"IND","HOU",7,2019,"PRE","http://www.nfl.com/liveupdate/game-center/2019102005/2019102005_gtd.json",NA,NA
"100",100,100,100,100,100,"reg",2019102007,"WAS","SF",7,2019,"PRE","http://www.nfl.com/liveupdate/game-center/2019102007/2019102007_gtd.json",NA,NA
"101",101,101,101,101,101,"reg",2019102006,"NYG","ARI",7,2019,"PRE","http://www.nfl.com/liveupdate/game-center/2019102006/2019102006_gtd.json",NA,NA
"102",102,102,102,102,102,"reg",2019102008,"TEN","LAC",7,2019,"PRE","http://www.nfl.com/liveupdate/game-center/2019102008/2019102008_gtd.json",NA,NA
"103",103,103,103,103,103,"reg",2019102009,"CHI","NO",7,2019,"PRE","http://www.nfl.com/liveupdate/game-center/2019102009/2019102009_gtd.json",NA,NA
"104",104,104,104,104,104,"reg",2019102010,"SEA","BAL",7,2019,"PRE","http://www.nfl.com/liveupdate/game-center/2019102010/2019102010_gtd.json",NA,NA
"105",105,105,105,105,105,"reg",2019102011,"DAL","PHI",7,2019,"PRE","http://www.nfl.com/liveupdate/game-center/2019102011/2019102011_gtd.json",NA,NA
"106",106,106,106,106,106,"reg",2019102100,"NYJ","NE",7,2019,"PRE","http://www.nfl.com/liveupdate/game-center/2019102100/2019102100_gtd.json",NA,NA
"107",107,107,107,107,107,"reg",2019102400,"MIN","WAS",8,2019,"PRE","http://www.nfl.com/liveupdate/game-center/2019102400/2019102400_gtd.json",NA,NA
"108",108,108,108,108,108,"reg",2019102700,"ATL","SEA",8,2019,"PRE","http://www.nfl.com/liveupdate/game-center/2019102700/2019102700_gtd.json",NA,NA
"109",109,109,109,109,109,"reg",2019102708,"TEN","TB",8,2019,"PRE","http://www.nfl.com/liveupdate/game-center/2019102708/2019102708_gtd.json",NA,NA
"110",110,110,110,110,110,"reg",2019102707,"NO","ARI",8,2019,"PRE","http://www.nfl.com/liveupdate/game-center/2019102707/2019102707_gtd.json",NA,NA
"111",111,111,111,111,111,"reg",2019102706,"LA","CIN",8,2019,"PRE","http://www.nfl.com/liveupdate/game-center/2019102706/2019102706_gtd.json",NA,NA
"112",112,112,112,112,112,"reg",2019102705,"JAX","NYJ",8,2019,"PRE","http://www.nfl.com/liveupdate/game-center/2019102705/2019102705_gtd.json",NA,NA
"113",113,113,113,113,113,"reg",2019102701,"BUF","PHI",8,2019,"PRE","http://www.nfl.com/liveupdate/game-center/2019102701/2019102701_gtd.json",NA,NA
"114",114,114,114,114,114,"reg",2019102702,"CHI","LAC",8,2019,"PRE","http://www.nfl.com/liveupdate/game-center/2019102702/2019102702_gtd.json",NA,NA
"115",115,115,115,115,115,"reg",2019102703,"DET","NYG",8,2019,"PRE","http://www.nfl.com/liveupdate/game-center/2019102703/2019102703_gtd.json",NA,NA
"116",116,116,116,116,116,"reg",2019102704,"HOU","OAK",8,2019,"PRE","http://www.nfl.com/liveupdate/game-center/2019102704/2019102704_gtd.json",NA,NA
"117",117,117,117,117,117,"reg",2019102709,"SF","CAR",8,2019,"PRE","http://www.nfl.com/liveupdate/game-center/2019102709/2019102709_gtd.json",NA,NA
"118",118,118,118,118,118,"reg",2019102711,"NE","CLE",8,2019,"PRE","http://www.nfl.com/liveupdate/game-center/2019102711/2019102711_gtd.json",NA,NA
"119",119,119,119,119,119,"reg",2019102710,"IND","DEN",8,2019,"PRE","http://www.nfl.com/liveupdate/game-center/2019102710/2019102710_gtd.json",NA,NA
"120",120,120,120,120,120,"reg",2019102712,"KC","GB",8,2019,"PRE","http://www.nfl.com/liveupdate/game-center/2019102712/2019102712_gtd.json",NA,NA
"121",121,121,121,121,121,"reg",2019102800,"PIT","MIA",8,2019,"PRE","http://www.nfl.com/liveupdate/game-center/2019102800/2019102800_gtd.json",NA,NA
"122",122,122,122,122,122,"reg",2019103100,"ARI","SF",9,2019,"PRE","http://www.nfl.com/liveupdate/game-center/2019103100/2019103100_gtd.json",NA,NA
"123",123,123,123,123,123,"reg",2019110300,"JAX","HOU",9,2019,"PRE","http://www.nfl.com/liveupdate/game-center/2019110300/2019110300_gtd.json",NA,NA
"124",124,124,124,124,124,"reg",2019110305,"PHI","CHI",9,2019,"PRE","http://www.nfl.com/liveupdate/game-center/2019110305/2019110305_gtd.json",NA,NA
"125",125,125,125,125,125,"reg",2019110306,"PIT","IND",9,2019,"PRE","http://www.nfl.com/liveupdate/game-center/2019110306/2019110306_gtd.json",NA,NA
"126",126,126,126,126,126,"reg",2019110304,"MIA","NYJ",9,2019,"PRE","http://www.nfl.com/liveupdate/game-center/2019110304/2019110304_gtd.json",NA,NA
"127",127,127,127,127,127,"reg",2019110303,"KC","MIN",9,2019,"PRE","http://www.nfl.com/liveupdate/game-center/2019110303/2019110303_gtd.json",NA,NA
"128",128,128,128,128,128,"reg",2019110302,"CAR","TEN",9,2019,"PRE","http://www.nfl.com/liveupdate/game-center/2019110302/2019110302_gtd.json",NA,NA
"129",129,129,129,129,129,"reg",2019110301,"BUF","WAS",9,2019,"PRE","http://www.nfl.com/liveupdate/game-center/2019110301/2019110301_gtd.json",NA,NA
